File,Câu,Câu hỏi,A,B,C,D,Đáp án,Trạng thái
Chapter 1 - Mini Test_ Xem lại lần làm thử.txt,50,Một trong những động lực thúc đẩy chính của quản trị tri thức là gì?,Vì chính phủ yêu cầu bảo mật,Vì không ai biết cách viết lại thông tin,Vì tri thức không được thu thập và lưu lại một cách có hệ thống ,Vì không đủ ngân sách lưu trữ Copyright © 2020 - Developed by CAIT@neu. Powered by Moodle Data retention summary Get the mobile app ◄ KM_Slides_Ch01 Chuyển tới... Slides - Nhóm 2 ► Hệ thống LMS/LCMS cho Blended learning tại Đại học Kinh tế Quốc dân INFO CỔNG THÔNG TIN ĐÀO TẠO daihocchinhquy.neu.edu.vn myaep.neu.edu.vn vlvh.neu.edu.vn thacsi.neu.edu.vn CONTACT US 207 Giải phóng  Phone : +84 36280280  E-mail : ask-cait@neu.edu.vn GET SOCIAL    ,,Đúng
Chapter 2 - Mini Test_ Xem lại lần làm thử.txt,2,Một trong những thách thức chính của việc quản lý tri thức ẩn là gì?,Khó đo lường và chia sẻ trực tiếp ,Chỉ tồn tại ở dạng văn bản,Luôn đòi hỏi công nghệ cao,Không áp dụng được trong học tập,,Đúng
Chapter 2 - Mini Test_ Xem lại lần làm thử.txt,6,Đâu là đặc điểm phân biệt tri thức với thông tin?,"Thông tin có ý nghĩa, được bối cảnh hóa và trải nghiệm hóa ",Thông tin ngẫu nhiên từ nhiều nguồn,Dữ liệu chưa qua xử lý,Dữ liệu thống kê thuần túy,,Đúng
Chapter 2 - Mini Test_ Xem lại lần làm thử.txt,10,Tại sao tri thức ẩn sở hữu bởi mỗi nhân viên được xem là khó quản lý nhất?,Tri thức ẩn khó nắm bắt,Tri thức được chia sẻ trong nhóm,"Tri thức về cách làm, kỹ năng","Tri thức về sự kiện, khái niệm ",,Đúng
Chapter 2 - Mini Test_ Xem lại lần làm thử.txt,14,Tri thức hiện thường được coi là:,Quy trình được viết trong sổ tay công ty,Báo cáo doanh thu hàng tháng,Bảng dữ liệu khách hàng,Kinh nghiệm giải quyết vấn đề của một nhân viên lâu năm ,,Đúng
Chapter 2 - Mini Test_ Xem lại lần làm thử.txt,18,Tri thức ẩn (tacit knowledge) có đặc điểm chính là gì?,Hệ thống ERP của công ty,Cẩm nang hướng dẫn nội bộ,Báo cáo doanh thu hàng năm,Kinh nghiệm giải quyết vấn đề của nhân viên ,,Đúng
Chapter 2 - Mini Test_ Xem lại lần làm thử.txt,22,Tri thức có thể được tìm thấy trong văn hóa tổ chức dưới dạng:,Văn hóa ứng xử,Kinh nghiệm cá nhân,Kỹ năng cá nhân,"Hướng dẫn công việc, quy định hoạt động ",,Đúng
Chapter 2 - Mini Test_ Xem lại lần làm thử.txt,26,Khó khăn chính trong việc quản lý tri thức ẩn là gì?,Sự tồn tại vật chất,Tính hợp lý và độ tin cậy ,Tính khách quan tuyệt đối,Sự ngẫu nhiên,,Đúng
Chapter 2 - Mini Test_ Xem lại lần làm thử.txt,30,Tri thức khai báo (declarative knowledge) thường trả lời cho loại câu hỏi nào?,"Vì phụ thuộc vào trải nghiệm, bối cảnh và năng lực cá nhân ",Vì luôn cần hệ thống lưu trữ lớn,Vì không liên quan đến sáng tạo,Vì nó không có giá trị chiến lược,,Đúng
Chapter 2 - Mini Test_ Xem lại lần làm thử.txt,34,"Tri thức có thể được mô tả như một sự kết hợp giữa thông tin, bối cảnh và ________?",Khả năng lưu giữ tài liệu,Niềm tin văn hoá,Khả năng truy cập và sử dụng thông tin khi cần ,Sự sáng tạo trong công việc,,Đúng
Chapter 2 - Mini Test_ Xem lại lần làm thử.txt,38,Tri thức thủ tục (procedural knowledge) còn được gọi là gì?,Tri thức như đối tượng,Tri thức như quá trình ,Tri thức như trạng thái tâm trí,Tri thức như khả năng,,Đúng
Chapter 2 - Mini Test_ Xem lại lần làm thử.txt,42,Tri thức liên quan đến bối cảnh (contextual knowledge) đề cập đến điều gì?,Tri thức như khả năng ,Tri thức như sự tiếp cận thông tin,Tri thức như đối tượng,Tri thức như trạng thái tâm trí,,Đúng
Chapter 2 - Mini Test_ Xem lại lần làm thử.txt,46,"Khi nhân viên viết ra quy trình làm việc, họ đang chuyển đổi tri thức gì?",Không liên quan đến hoạt động tổ chức,Luôn gắn với cá nhân,Không thể cập nhật thường xuyên,"Dễ lưu trữ, truy xuất và chia sẻ ",,Đúng
Chapter 2 - Mini Test_ Xem lại lần làm thử.txt,50,Tri thức thường nằm ở đâu trong tổ chức?,Xem tri thức là tài sản bất biến,"Tạo lập, chia sẻ và sử dụng tri thức liên tục ",Loại bỏ thông tin cũ,Lưu trữ tri thức tĩnh,,Đúng
Chapter 2 - Mini Test_ Xem lại lần làm thử.txt,54,Tại sao cách nhìn tri thức như trạng thái tâm trí khó quản lý ở cấp tổ chức?,Biết “làm thế nào” để thực hiện công việc ,Thông tin được mã hóa,Niềm tin cá nhân,Các định nghĩa và sự kiện,,Đúng
Chapter 2 - Mini Test_ Xem lại lần làm thử.txt,58,Tri thức như “trạng thái tâm trí” (state of mind) nhấn mạnh đến điều gì?,Nó không thay đổi theo thời gian,Nó luôn có sẵn trong tài liệu,Nó dễ dàng sao chép,Nó quyết định năng lực cạnh tranh dựa trên kinh nghiệm và sáng tạo ,,Đúng
Chapter 2 - Mini Test_ Xem lại lần làm thử.txt,60,Việc coi ứng dụng tri thức như sự “tiếp cận thông tin” thể hiện rõ nhất trong tình huống nào?,Kinh nghiệm trực giác,Tài liệu giấy,Hệ thống công nghệ thông tin hỗ trợ tìm kiếm ,Niềm tin cá nhân ◄ Slides_Ch02 Chuyển tới... Slides - Nhóm 3 ► Hệ thống LMS/LCMS cho Blended learning tại Đại học Kinh tế Quốc dân INFO CỔNG THÔNG TIN ĐÀO TẠO daihocchinhquy.neu.edu.vn myaep.neu.edu.vn vlvh.neu.edu.vn thacsi.neu.edu.vn CONTACT US 207 Giải phóng  Phone : +84 36280280  E-mail : ask-cait@neu.edu.vn Copyright © 2020 - Developed by CAIT@neu. Powered by Moodle Data retention summary Get the mobile app GET SOCIAL    ,,Đúng
Chapter 3 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,2,Mối quan hệ giữa công nghệ thông tin và quản trị tri thức là gì?,Khi một tổ chức chỉ dựa vào dữ liệu thống kê để ra quyết định chiến lược,"Khi một doanh nghiệp vừa đầu tư hệ thống CNTT, vừa duy trì văn hóa chia sẻ, vừa áp dụng luân chuyển nhân viên để lan tỏa tri thức ",Khi một công ty chỉ tập trung phát triển phần mềm ERP để quản lý tài chính,Khi một doanh nghiệp coi KM là hoạt động độc lập tách biệt với văn hóa và con người,,Đúng
Chapter 3 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,6,"Trong mối quan hệ tổng thể, KM systems có vai trò gì?",Đảm bảo rằng dữ liệu luôn chính xác tuyệt đối,Giúp các giải pháp KM hoạt động trong ngắn hạn nhưng không bền vững,Cung cấp cơ sở lâu dài hỗ trợ mọi giải pháp KM ,Hoàn toàn thay thế quy trình và hệ thống KM,,Đúng
Chapter 3 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,10,Giải pháp quản trị tri thức (KM solutions) bao gồm những thành phần nào?,Quản lý cơ sở hạ tầng công nghệ thông tin,"Tạo ra dữ liệu, tổng hợp dữ liệu và báo cáo","Khám phá, lưu giữ, chia sẻ và áp dụng tri thức ","Phân tích dữ liệu, thống kê và lưu trữ thông tin",,Đúng
Chapter 3 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,14,Văn hóa tổ chức trong quản trị tri thức có vai trò gì?,Bằng ký ức và kinh nghiệm không thể mô tả bằng lời,"Thông qua thói quen, kỹ năng và bí quyết cá nhân",Qua việc học hỏi trực tiếp trong thực tế công việc,"Bằng các tài liệu, quy trình và hướng dẫn chính thức ",,Đúng
Chapter 3 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,18,"Khi xem xét mối quan hệ giữa hạ tầng KM, cơ chế KM và công nghệ KM, đâu là mô tả chính xác nhất?",Tri thức chỉ bao gồm dữ liệu số hóa trong hệ thống CNTT,Tri thức không cần đến bối cảnh để phát huy tác dụng,"Thông tin cần được bối cảnh hóa, kết hợp với kinh nghiệm mới trở thành tri thức ",Thông tin luôn có giá trị chiến lược cao hơn tri thức,,Đúng
Chapter 3 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,22,Công nghệ quản trị tri thức (KM technologies) chủ yếu tập trung vào:,Giúp tổ chức thu thập dữ liệu thô để chuyển thành thông tin chi tiết,Đảm bảo cơ sở dữ liệu CNTT luôn được cập nhật định kỳ chính xác,Giúp giảm thiểu chi phí vận hành thông qua chuẩn hóa quy trình tài chính,Tạo ra nền tảng nhận thức và ngôn ngữ chung giúp các hệ thống KM hoạt động hiệu quả hơn ,,Đúng
Chapter 3 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,26,Một hạn chế lớn nếu tổ chức chỉ tập trung vào KM mechanisms mà bỏ qua KM infrastructure là gì?,Cơ chế quản trị tri thức (KM mechanisms),Kết quả tài chính của quản trị tri thức ,Công nghệ quản trị tri thức (KM technologies),Cơ sở hạ tầng quản trị tri thức (KM infrastructure),,Đúng
Chapter 3 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,30,Tri thức ẩn (tacit knowledge) được đặc trưng bởi điều nào sau đây?,Vì văn hóa tổ chức không thể đo lường bằng các chỉ số tài chính,Vì nhân viên thường ngại chia sẻ tri thức do sợ mất lợi thế cá nhân ,Vì văn hóa luôn thay đổi nhanh hơn công nghệ,Vì văn hóa chỉ ảnh hưởng đến cấp quản lý cao nhất,,Đúng
Chapter 3 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,34,Quản trị tri thức trong doanh nghiệp thường hướng đến việc:,Xây dựng vai trò Chief Knowledge Officer (CKO) để dẫn dắt KM,"Cạnh tranh nội bộ quá cao khiến nhân viên không muốn chia sẻ thông tin, tri thức hữu ích ",Tạo ra cộng đồng thực hành để khuyến khích học hỏi,Phân quyền hợp lý giúp tăng cường sáng tạo,,Đúng
Chapter 3 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,38,Vì sao có thể nói KM infrastructure đóng vai trò “xương sống” trong toàn bộ hệ thống quản trị tri thức?,Vì công nghệ quan trọng hơn văn hóa trong mọi tình huống,Vì công nghệ tự động tạo ra tri thức mà không cần con người tham gia,Vì công nghệ là yếu tố duy nhất duy trì tri thức lâu dài,"Vì công nghệ chỉ là công cụ, còn tri thức cần được gắn với con người và bối cảnh tổ chức ",,Đúng
Chapter 3 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,42,Vì sao quản trị tri thức trở thành xu thế tất yếu của các tổ chức hiện đại?,Luôn cố định và không thay đổi theo thời gian,Hoàn toàn tách biệt với kinh nghiệm cá nhân,Được định nghĩa giống nhau trong mọi ngành nghề,Phụ thuộc vào bối cảnh và môi trường ứng dụng ,,Đúng
Chapter 3 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,46,Điểm khác biệt giữa KM mechanisms và KM technologies là gì?,Chuẩn hóa tất cả dữ liệu tài chính,Đầu tư mạnh vào phần mềm mới nhất,Mở rộng số lượng chi nhánh toàn cầu,Xây dựng văn hóa và cơ chế khuyến khích chia sẻ tri thức ,,Đúng
Chapter 3 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,50,Một trong những lợi ích lớn nhất của quản trị tri thức là gì?,Không gian mở (ví dụ: góc cà phê) khuyến khích mọi người trao đổi ý tưởng ,Bộ quy tắc ứng xử trong công ty,Hệ thống ERP hỗ trợ quản lý tài nguyên,Quy trình đánh giá hiệu suất dựa trên chia sẻ tri thức,,Đúng
Chapter 3 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,54,Ví dụ nào sau đây thuộc về KM mechanisms?,Văn hóa tổ chức khuyến khích chia sẻ tri thức ,Quy trình trao đổi tri thức giữa các nhóm,Cơ sở dữ liệu về các thực hành tốt nhất,Đào tạo tại chỗ cho nhân viên mới,D,Đúng
Chapter 3 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,58,Thành phần nào sau đây KHÔNG thuộc cơ sở hạ tầng quản trị tri thức?,Đảm bảo mọi quyết định đều dựa trên dữ liệu thống kê,Chủ yếu dựa trên các quy định của tổ chức hoặc cơ chế xã hội để hỗ trợ KM ,Hoạt động như một hệ thống lưu trữ dữ liệu điện tử,Luôn yêu cầu sử dụng công nghệ thông tin tiên tiến,,Đúng
Chapter 3 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,60,Yếu tố nào sau đây được xem là thách thức lớn đối với quản trị tri thức?,"KM solutions chỉ áp dụng ngắn hạn, KM foundations chỉ tồn tại dài hạn","KM solutions loại bỏ vai trò con người, KM foundations duy trì yếu tố xã hội","KM solutions thiên về công cụ CNTT, KM foundations thiên về dữ liệu thống kê","KM solutions tập trung vào thực thi, KM foundations tạo cơ sở lâu dài cho giải pháp  ◄ KM_Slides_Ch03 Chuyển tới... Slides - Nhóm 4 ► Hệ thống LMS/LCMS cho Blended learning tại Đại học Kinh tế Quốc dân INFO CỔNG THÔNG TIN ĐÀO TẠO daihocchinhquy.neu.edu.vn myaep.neu.edu.vn vlvh.neu.edu.vn thacsi.neu.edu.vn CONTACT US 207 Giải phóng  Phone : +84 36280280  E-mail : ask-cait@neu.edu.vn Copyright © 2020 - Developed by CAIT@neu. Powered by Moodle Data retention summary Get the mobile app GET SOCIAL    ",,Đúng
Chapter 3 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,2,Một bệnh viện sử dụng hệ thống case-based reasoning (CBR) để hỗ trợ chẩn đoán bệnh. Điều gì làm công nghệ này trở thành KM,Dùng DSS chỉ để tạo báo cáo thống kê tài chính hàng quý cho lãnh đạo,Kết hợp DSS với cơ sở tri thức từ dự án cũ để đề xuất giải pháp cho tình huống mới ,Giới hạn DSS trong phạm vi quản lý dữ liệu khách hàng để đảm bảo bảo mật,Tập trung phát triển DSS như công cụ độc lập mà không gắn với tri thức tổ chức,,Đúng
Chapter 3 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,6,Một lợi ích chính của việc áp dụng KM mechanisms trong doanh nghiệp là gì?,Hệ thống ERP để quản lý nguồn lực tài chính và sản xuất,Cơ chế luân chuyển nhân viên giữa các phòng ban để mở rộng kỹ năng,Hệ thống lập luận tình huống (case-based reasoning) lưu trữ và gợi ý giải pháp từ kinh nghiệm trước đó ,Các hội nghị trực tiếp nhằm khuyến khích trao đổi tri thức ẩn trong tổ chức,,Đúng
Chapter 3 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,9,Tại sao KM mechanisms được coi là khác biệt so với KM technologies?,Sử dụng AI thay thế hoàn toàn mọi hoạt động học hỏi và đào tạo nhân sự,Giới hạn AI cho nhóm nghiên cứu thị trường mà không liên kết với tri thức tổ chức,Chỉ tập trung vào AI để tối ưu hóa doanh số mà bỏ qua văn hóa chia sẻ tri thức,Kết hợp AI với cơ chế đào tạo nội bộ và chia sẻ kinh nghiệm giữa các bộ phận ,,Đúng
Chapter 3 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,12,Một công ty phần mềm có hạ tầng CNTT rất mạnh nhưng nhân viên ít hợp tác trong dự án liên phòng ban. Nguyên nhân chính yếu,Giới hạn số lượng nhân viên tham gia để tránh chia sẻ tràn lan,Chuẩn hóa tất cả dữ liệu tài chính thành một hệ thống duy nhất,"Điều chỉnh linh hoạt các quy định, chính sách, và các cơ chế xã hội hóa để phù hợp với thay đổi của tổ chức ",Tập trung thay thế hoàn toàn tri thức ngầm bằng báo cáo định kỳ,,Đúng
Chapter 3 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,15,Tại sao có thể nói rằng KM technologies khác với công nghệ thông tin thông thường?,Đầu tư vào ERP và DSS mà không cần thay đổi cấu trúc tổ chức,"Khuyến khích văn hóa học hỏi, kết hợp đào tạo luân chuyển và áp dụng công cụ Web 2.0 ",Giảm quyền truy cập tri thức để duy trì tính bảo mật tối đa,Tập trung chuẩn hóa báo cáo tài chính và dữ liệu kho vận,D,Đúng
Chapter 3 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,18,yêu cầu này?,Cho phép hỗ trợ đồng thời nhiều hệ thống KM và tăng hiệu quả tổng thể ,Giúp doanh nghiệp giảm tối đa chi phí công nghệ và nhân sự,Tạo điều kiện để loại bỏ nhu cầu về các cơ chế xã hội hóa,Đảm bảo tổ chức tập trung vào dữ liệu thống kê thay vì tri thức ẩn,C,Đúng
Chapter 3 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,21,Một ngân hàng muốn nâng cao khả năng học hỏi tổ chức khi triển khai sản phẩm mới. Biện pháp quản lý nào phản ánh sự kết hợp cả,Vì chúng chủ yếu hỗ trợ tự động hóa quy trình vận hành của doanh nghiệp,Vì chúng đảm bảo dữ liệu tài chính luôn được lưu trữ chính xác trong hệ thống,Vì chúng thay thế toàn bộ văn hóa chia sẻ tri thức bằng công cụ kỹ thuật số,"Vì chúng giúp tạo không gian mở, nơi nhân viên có thể đồng kiến tạo và chỉnh sửa tri thức liên tục ",,Đúng
Chapter 3 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,25,Giới hạn quyền truy cập wiki chỉ cho ban lãnh đạo cấp cao,Các cộng đồng thực hành sẽ tự động tan rã mà không có lý do rõ ràng,Công nghệ thông tin trong tổ chức nhanh chóng lỗi thời và bị thay thế,Toàn bộ tri thức hiện hữu biến mất khỏi cơ sở dữ liệu nội bộ,Các hệ thống KM mất nền tảng lâu dài để phát triển và vận hành bền vững ,,Sai
Chapter 3 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,29,"Một tổ chức thường xuyên thay đổi chính sách nhân sự, gây khó khăn cho quản lý KM. Yếu tố nào bị ảnh hưởng trực tiếp nhất?",Văn hóa tổ chức sẽ tự phát triển mạnh hơn nhờ không bị công nghệ chi phối,Tri thức có thể được chia sẻ qua thông qua các cơ chế xã hội hóa nhưng thiếu các công cụ lưu trữ và truy xuất lâu dài ,Công nghệ sẽ tự động thay thế các cơ chế KM bằng hệ thống số hóa,Tri thức chung của tổ chức không còn tồn tại vì không có nền tảng CNTT,,Đúng
Chapter 3 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,32,"Một doanh nghiệp triển khai hệ thống ERP để quản lý toàn bộ quy trình sản xuất và tài chính. Tuy nhiên, tổ chức muốn tận dụng hệ",Đầu tư thêm chuyên gia CNTT để duy trì hạ tầng công nghệ,Mở rộng quy mô cơ sở dữ liệu và cải thiện báo cáo định kỳ,Chính sách thưởng và cộng đồng thực hành khuyến khích trao đổi ,Giới hạn quyền truy cập vào thông tin để đảm bảo kiểm soát,,Đúng
Chapter 3 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,36,"Nếu lãnh đạo cấp cao không cam kết quản lý KM foundations, nguy cơ lớn nhất là gì?",Tổ chức một cuộc họp nhanh để giải quyết vấn đề khẩn cấp,Tổ chức hội thảo chia sẻ tri thức trong một ngày,Bổ nhiệm Chief Knowledge Officer để dẫn dắt hoạt động KM ,Học qua quan sát trực tiếp tại nơi làm việc,,Đúng
Chapter 3 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,40,"Trong bối cảnh quản lý KM foundations, yếu tố nào giúp các hệ thống KM trở nên hiệu quả và bền vững?",Hệ thống phân quyền tổ chức giúp kiểm soát trách nhiệm công việc,Hệ thống ERP để chuẩn hóa quy trình tài chính và sản xuất,Cơ sở dữ liệu các “bài học kinh nghiệm” (lessons learned systems) cho phép truy xuất và tái sử dụng tri thức ,Mạng lưới các cộng đồng thực hành phi chính thức giữa nhân viên,,Đúng
Chapter 3 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,43,Quản lý cơ sở hạ tầng KM đòi hỏi điều gì quan trọng nhất?,Tổ chức chương trình “onboarding” chính thức với sự hướng dẫn từ nhân viên có kinh nghiệm ,Xây dựng kho dữ liệu tập trung chứa báo cáo tài chính và khách hàng,Đầu tư một hệ thống ERP để quản lý dữ liệu tài chính minh bạch hơn,Mua phần mềm trí tuệ nhân tạo để tự động phân tích xu hướng thị trường,,Đúng
Chapter 3 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,47,Một ví dụ điển hình của KM mechanisms là gì?,Mua phần mềm ERP để quản lý quy trình dự án và nguồn lực,"Quay video phỏng vấn chuyên gia, kết hợp với cơ sở dữ liệu các bài học kinh nghiệm ",Tổ chức các buổi họp trực tiếp nhằm truyền tải kinh nghiệm cho nhân viên trẻ,Triển khai wiki nội bộ để ghi chép hướng dẫn kỹ thuật và thảo luận mở,,Đúng
Chapter 3 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,50,Một rủi ro khi quản lý không tốt KM technologies là gì?,DSS chỉ tập trung vào tính toán dữ liệu lớn để giảm chi phí phân tích,DSS thay thế nhu cầu đào tạo và huấn luyện nhân viên tài chính,DSS khai thác cơ sở tri thức từ các tình huống trước đó để đề xuất chiến lược mới ,DSS tạo ra báo cáo tài chính nhanh chóng và chính xác hơn ◄ Câu hỏi - Nhóm 4 Chuyển tới... Câu hỏi - Nhóm 5 ► Hệ thống LMS/LCMS cho Blended learning tại Đại học Kinh tế Quốc dân Copyright © 2020 - Developed by CAIT@neu. Powered by Moodle Data retention summary Get the mobile app INFO CỔNG THÔNG TIN ĐÀO TẠO daihocchinhquy.neu.edu.vn myaep.neu.edu.vn vlvh.neu.edu.vn thacsi.neu.edu.vn CONTACT US 207 Giải phóng  Phone : +84 36280280  E-mail : ask-cait@neu.edu.vn GET SOCIAL    ,,Đúng
Chapter 4 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,2,"Bốn quá trình KM bao gồm phát hiện, lưu trữ, chia sẻ và đánh giá tri thức, được hỗ trợ bởi bảy quy trình con dựa hoàn toàn","Định hướng (Direction), vì nó điều chỉnh việc áp dụng tri thức vào cả phát hiện và áp dụng tri thức.","Kết hợp (Combination), vì nó tập hợp tri thức từ nhiều nguồn để phục vụ nhiều mục đích khác nhau.","Ngoại hóa (Externalization), vì nó chuyển đổi tri thức ẩn thành tri thức hiện.","Xã hội hóa (Socialization), vì nó gắn liền với cả quá trình phát hiện tri thức và chia sẻ tri thức. ",,Đúng
Chapter 4 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,6,Ví dụ nào minh họa rõ nhất cho sự kết nối giữa chia sẻ tri thức và ứng dụng tri thức?,Quá trình nắm bắt tri thức ẩn từ cá nhân và tri thức hiện từ tài liệu hay cơ sở dữ liệu để chia sẻ rộng rãi. ,Quá trình tổng hợp các dòng tri thức hiện nhằm hình thành bộ kiến thức chung cho toàn bộ tổ chức.,Quá trình tái cấu trúc tri thức hiện thành mô hình mới để phục vụ phân tích dữ liệu trong tổ chức.,Quá trình lưu giữ tri thức hiện đã có trong hệ thống để giảm thiểu rủi ro mất mát tri thức quan trọng.,,Đúng
Chapter 4 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,10,Định nghĩa quản trị tri thức trong chương 4 nhấn mạnh mục tiêu cốt lõi nào?,"Thu nhận tri thức, vì nó đảm bảo sự duy trì và lưu giữ nguồn tri thức hiện có.","Khám phá tri thức, vì nó làm nền tảng cho việc tạo lập toàn bộ hệ thống tri thức mới.","Ứng dụng tri thức, vì nó biến tri thức thu được thành hành động cụ thể tạo giá trị. ","Chia sẻ tri thức, vì nó giúp tri thức được truyền bá rộng rãi và không bị mất mát.",,Đúng
Chapter 4 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,14,"Trong bối cảnh quản trị tri thức, mục tiêu cốt lõi của nắm bắt tri thức là gì?",Vì nó cho phép cá nhân hành động theo chuẩn mực và chính sách mà không cần học lại toàn bộ tri thức. ,Vì nó giúp tri thức hiện được biến đổi thành tri thức ẩn thông qua trải nghiệm cá nhân.,Vì nó tạo ra tri thức hiện mới thông qua sự tích hợp các nguồn dữ liệu khác nhau.,Vì nó đảm bảo tri thức ẩn được truyền đạt trực tiếp giữa các cá nhân trong tổ chức.,,Đúng
